state,logFC,pval,padj,sig
BivProm,-0.4565654110409669,0.0032754543362431103,0.03255405450278215,Sig. Down
EnhA,-0.0021794934692313437,0.9738785539297709,0.9977579240623166,Not Sig.
EnhWk,-1.8642903843498352e-4,0.9977579240623166,0.9977579240623166,Not Sig.
GapArtf,0.10298535371404527,0.2582594656254496,0.5165189312508992,Not Sig.
HET,0.11977336521848203,0.2083577332083137,0.5165189312508992,Not Sig.
OpenC,0.022000778457751783,0.7523982342252901,0.8598836962574743,Not Sig.
PromF,-0.07841800789844285,0.3563660444100635,0.5757076423673901,Not Sig.
Quies,0.0388618816791122,0.6108281375454174,0.7517884769789753,Not Sig.
ReprPC,-0.17943478514838496,0.02202196376876411,0.09086767889351247,Not Sig.
ReprPC_openC,-0.3397120386262475,0.0040692568128477685,0.03255405450278215,Sig. Down
TSS,-0.13175479986256,0.157004800748296,0.5024153623945472,Not Sig.
Tx,0.05515030684324138,0.49707121329747167,0.7110628459973044,Not Sig.
TxEnh,0.09516818434217364,0.3598172764796188,0.5757076423673901,Not Sig.
TxEx,0.14881270773938599,0.22749260746314637,0.5165189312508992,Not Sig.
TxWk,0.05045609345341927,0.5332971344979783,0.7110628459973044,Not Sig.
ZNF,0.2034141902810593,0.022716919723378116,0.09086767889351247,Not Sig.
